// You are almost not supposed to directly edit this file.
// See build-tools/enumification-helpers/README.md there for details.
//
// Each line represents: [API], [pkg], [type], [method], [param], [C#enum]
//	API - Platform Name (API Level) Since
//	pkg - Java package
//	type - Java type (dotted for nested types)
//  method - method name (".ctor" for constructors)
//  param - method parameter name, or "return" for return value
//  C#enum - C# enum type (full name, dotted)
//
// Lines until around 600 are traditional mappings that were not tracked with
// enumification-helpers tools. There are some marker comment lines over there,
// and after those lines they are copy of enumification-helpers/methodmap.ext.csv.

// CharBuffer is sort of special to treat ICharSequence.
// We need to remap it to CharSequence to have valid overrides.
0, java.nio, CharBuffer, subSequence, return, Java.Lang.ICharSequence
0, java.util, Calendar, roll, field, Java.Util.CalendarField
0, java.util, Calendar, set, field, Java.Util.CalendarField
0, java.util, GregorianCalendar, add, field, Java.Util.CalendarField
0, java.util, GregorianCalendar, get, field, Java.Util.CalendarField
0, java.util, GregorianCalendar, getActualMaximum, field, Java.Util.CalendarField
0, java.util, GregorianCalendar, getActualMinimum, field, Java.Util.CalendarField
0, java.util, GregorianCalendar, getGreatestMinimum, field, Java.Util.CalendarField
0, java.util, GregorianCalendar, getLeastMaximum, field, Java.Util.CalendarField
0, java.util, GregorianCalendar, getMaximum, field, Java.Util.CalendarField
0, java.util, GregorianCalendar, getMinimum, field, Java.Util.CalendarField
0, java.util, GregorianCalendar, roll, field, Java.Util.CalendarField

// 0, java.util, Calendar, getDisplayName, style, Java.Util.CalendarStyle
// 0, java.util, Calendar, getDisplayNames, style, Java.Util.CalendarStyle
0, java.util, [Interface]Formattable, formatTo, flags, Java.Util.FormatFlags
0, java.util.regex, Pattern, compile, flags, Java.Util.Regex.RegexOptions
0, java.util.regex, Pattern, flags, return, Java.Util.Regex.RegexOptions
0, java.util, TimeZone, getDisplayName, style, Java.Util.TimeZoneStyle

0, javax.crypto, Cipher, unwrap, wrappedKeyType, Javax.Crypto.KeyType
0, javax.crypto, Cipher, init, opmode, Javax.Crypto.CipherMode

// API Level 16

// huh, visiblity...

// API Level 17

// API Level 18
// this caused build error - could we get this override automatically changed to use enum?

// API Level 19
// They were added at API Level 16, but did not come up with corresponding error code until API Level 19 (!)

// API Level 20

// API Level 21

// API Level 22


// API Level 23

// this was required for build
















// API Level 24








// renamed parameters...
24, java.nio.channels, SelectionKey, interestOps, ops, Java.Nio.Channels.Operations
24, java.net, IDN, toASCII, flag, Java.Net.IDNFlags
24, java.net, IDN, toUnicode, flag, Java.Net.IDNFlags

24, java.util, [Interface]Spliterator, characteristics, return, Java.Util.SpliteratorCharacteristics
24, java.util, Spliterators, spliterator, characteristics, Java.Util.SpliteratorCharacteristics
24, java.util, Spliterators, spliterator, additionalCharacteristics, Java.Util.SpliteratorCharacteristics
24, java.util, Spliterators, spliteratorUnknownSize, characteristics, Java.Util.SpliteratorCharacteristics
24, java.util, Spliterators.AbstractDoubleSpliterator, characteristics, return, Java.Util.SpliteratorCharacteristics
24, java.util, Spliterators.AbstractIntSpliterator, characteristics, return, Java.Util.SpliteratorCharacteristics
24, java.util, Spliterators.AbstractLongSpliterator, characteristics, return, Java.Util.SpliteratorCharacteristics
24, java.util, Spliterators.AbstractSpliterator, characteristics, return, Java.Util.SpliteratorCharacteristics

// API Level 25

// Use of this enum involves some FAKE. The corresponding constants doesn't exist in API Level 24.

// API Level 26

26, java.lang.invoke, [Interface]MethodHandleInfo, getReferenceKind, return, Java.Lang.Invoke.ReferenceKind
26, java.lang.invoke, [Interface]MethodHandleInfo, refKindIsField, refKind, Java.Lang.Invoke.ReferenceKind
26, java.lang.invoke, [Interface]MethodHandleInfo, refKindIsValid, refKind, Java.Lang.Invoke.ReferenceKind
26, java.lang.invoke, [Interface]MethodHandleInfo, refKindName, refKind, Java.Lang.Invoke.ReferenceKind
26, java.lang.invoke, [Interface]MethodHandleInfo, referenceKindToString, referenceKind, Java.Lang.Invoke.ReferenceKind
26, java.lang.invoke, [Interface]MethodHandleInfo, toString, kind, Java.Lang.Invoke.ReferenceKind
26, java.lang.invoke, MethodHandles.Lookup, lookupModes, return, Java.Lang.Invoke.MethodLookupModes

// We have problem binding getAccountVisibilityForPackage() and getPackagesAndVisibilityForAccount(). They should be Map<Account,AccountVisibility> and Map<String,AccountVisibility> instead of Map<Account,int> and Map<String,int> respectively, but they require run-time mapping too...




// Those enums in TvContract.*Programs are used only with settings columns.
// I assume they are replaced by those consts in each FooBarPrograms class?


// The setter brings conflict with setFocusable(boolean) so it cannot be simply
// generated here. The corresponding manual fixup is added to "metadata".


// cannot change this at this state.


// ScanRecord has different TxPowerLevel context...


// MediaCas - the methods lack description so it's impossible to enumify them at this moment.
// ditto for MediaDescrambler.


// workaround doc scraper issue - it somehow failed to retrieve parameter names for this.

26, java.util, Calendar.Builder, set, field, Java.Util.CalendarField

// It was a bit too late to notice this method, or it was added after our final enumification effort for API Level 26.
// There is AssetInt property (of int) which was removed at API Level 21. We don't/can't enumify it.




// They were too late to get documented.

// Cannot change this at this state.
// Cannot change this at this state.
// Cannot change this at this state.
// Cannot change this at this state.
// Cannot change this at this state.
// Cannot change this at this state.
// Cannot change this at this state.
// Cannot change this at this state.
// Cannot change this at this state.
// We can't enumificate DiscoveryStateListener because it will broke the current fields.
// Cannot change this at this state.
// Cannot change this at this state.
// Cannot change this at this state.
// Cannot change this at this state.
// Cannot change this at this state.
// 1, java.sql, Connection, getHoldability, return, Java.Sql.HoldabilityMode
// 1, java.sql, Connection, setHoldability, holdability, Java.Sql.HoldabilityMode
// 1, java.sql, Connection, getTransactionIsolation, return, Java.Sql.TransactionMode
// 1, java.sql, Connection, setTransactionIsolation, level, Java.Sql.TransactionMode
// 9, java.util, Calendar, getDisplayName, style, Java.Util.DisplayNameStyle
// 9, java.util, Calendar, getDisplayNames, style, Java.Util.DisplayNameStyle
